Point géographique;Forme géographique;Idcar_200m;I_est_200;Idcar_1km;i_est_1km;Idcar_nat;Numéro de groupe;Population du carreau;Nombre de ménages d’un seul individu;Nombre de ménages de 5 individus ou plus;Nombre de ménages propriétaires;Nombre de ménages monoparentaux;Somme des niveaux de vie winsorisés des individus;Somme de la surface des logements du carreau;Nombre de ménages en logements collectifs;Nombre de ménages en maison;Nombre de logements sociaux;Nombre de ménages pauvres;Nombre de ménages;lcog_geo;com_arm_code;Code Officiel Commune
48.74349470529378, 2.3084961323632873;"{""coordinates"": [[[2.307281626108251, 48.74250702962987], [2.307004201862182, 48.74429487910757], [2.309710687866337, 48.744482374254545], [2.309988016332229, 48.74269451701554], [2.307281626108251, 48.74250702962987]]], ""type"": ""Polygon""}";CRS3035RES200mN2877200E3756200;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877200E3756200;848856;120.5;4.0;7.0;32.0;4.0;4306170.5;4348.0;0.0;39.0;0.0;2.0;39.0;92002;92002;92002
48.74170685079471, 2.3087734961233415;"{""coordinates"": [[[2.307559025158024, 48.740719177870915], [2.307281626108251, 48.74250702962987], [2.309988016332229, 48.74269451701554], [2.310265319610314, 48.74090665749603], [2.307559025158024, 48.740719177870915]]], ""type"": ""Polygon""}";CRS3035RES200mN2877000E3756200;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877000E3756200;848870;264.5;26.0;12.0;74.0;8.0;8660234.4;9042.0;38.0;60.0;0.0;3.0;98.0;92002;92002;92002
48.74528255751209, 2.308218743409551;"{""coordinates"": [[[2.307004201862182, 48.74429487910757], [2.306726752416559, 48.7460827263043], [2.309433334209385, 48.74627022921329], [2.309710687866337, 48.744482374254545], [2.307004201862182, 48.74429487910757]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3756200;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877400E3756200;848869;260.5;22.0;9.0;84.0;2.0;9912953.2;9587.0;16.0;81.0;0.0;4.0;97.0;92002;92002;92002
48.75205875197249, 2.301695138536936;"{""coordinates"": [[[2.300480570208268, 48.75107100464565], [2.300202828294289, 48.752858827183964], [2.302909756134145, 48.753046492598344], [2.30318740223062, 48.75125866228982], [2.300480570208268, 48.75107100464565]]], ""type"": ""Polygon""}";CRS3035RES200mN2878200E3755800;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878200E3755800;850861;391.5;49.0;5.0;108.0;11.0;16420213.6;14896.0;115.0;56.0;0.0;4.0;171.0;92002;92002;92002
48.76297334476864, 2.30273598459676;"{""coordinates"": [[[2.301521147221458, 48.76198560994541], [2.30124334973002, 48.763773426577934], [2.303950871268176, 48.76396107288819], [2.304228572888551, 48.76217324848376], [2.301521147221458, 48.76198560994541]]], ""type"": ""Polygon""}";CRS3035RES200mN2879400E3756000;1;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850869;7.0;0.4;0.4;2.0;0.2;256862.3;291.7;0.1;2.3;0.0;0.2;2.4;92002;92002;92002
48.74490742802928, 2.3028057127784587;"{""coordinates"": [[[2.301591285601043, 48.74391969167781], [2.301313644585798, 48.7457075233426], [2.304020189206617, 48.74589515768052], [2.304297734438336, 48.744107318248425], [2.301591285601043, 48.74391969167781]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3755800;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877400E3755800;848765;495.5;78.0;12.0;130.0;15.0;16329918.0;15528.0;178.0;43.0;0.0;16.0;221.0;92002;92002;92002
48.751119622803245, 2.288160971528652;"{""coordinates"": [[[2.286946689267629, 48.75013173061935], [2.286668468304782, 48.7519195142669], [2.289375303053905, 48.7521075082939], [2.289653428212127, 48.75031971686291], [2.286946689267629, 48.75013173061935]]], ""type"": ""Polygon""}";CRS3035RES200mN2878200E3754800;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850818;359.0;32.0;13.0;118.0;8.0;12627341.7;10723.0;78.0;55.0;0.0;2.0;133.0;92002;92002;92002
48.745657424139424, 2.313631848354548;"{""coordinates"": [[[2.312417192444562, 48.74466980368859], [2.312139934578853, 48.746457666406684], [2.314846553518715, 48.74664503788382], [2.315123715590618, 48.744857167409], [2.312417192444562, 48.74466980368859]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3756600;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877400E3756600;848868;224.5;39.0;10.0;58.0;7.0;7081065.4;7346.3;43.0;51.0;19.0;2.0;94.0;92002;92002;92002
48.75309537425874, 2.290589677804335;"{""coordinates"": [[[2.289375303053905, 48.7521075082939], [2.289097152628864, 48.75389529744117], [2.29180410182431, 48.7540832335286], [2.292082156433655, 48.75229543659982], [2.289375303053905, 48.7521075082939]]], ""type"": ""Polygon""}";CRS3035RES200mN2878400E3755000;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878400E3755000;850851;250.0;23.0;10.0;77.0;4.0;10101629.1;10111.0;34.0;61.0;0.0;4.0;95.0;92002;92002;92002
48.767111659303914, 2.310303514830209;"{""coordinates"": [[[2.309088435075148, 48.76612400594822], [2.308810874764553, 48.767911841336705], [2.311518643892876, 48.768099305950884], [2.311796108307674, 48.76631146279698], [2.309088435075148, 48.76612400594822]]], ""type"": ""Polygon""}";CRS3035RES200mN2879800E3756600;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850875;151.5;28.0;5.0;48.0;8.0;5683989.6;5605.0;51.0;20.0;0.0;6.0;71.0;92002;92002;92002
48.761373124895016, 2.305721108572968;"{""coordinates"": [[[2.304506249276775, 48.76038542180152], [2.304228572888551, 48.76217324848376], [2.306936017161677, 48.76236082128345], [2.307213597684764, 48.760572986832656], [2.304506249276775, 48.76038542180152]]], ""type"": ""Polygon""}";CRS3035RES200mN2879200E3756200;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850884;428.0;78.0;15.0;126.0;10.0;16625755.3;14881.0;131.0;57.0;0.0;16.0;188.0;92002;92002;92002
48.74180462268006, 2.2841389424218663;"{""coordinates"": [[[2.282924950839611, 48.74081668631673], [2.282646664687679, 48.742604465823725], [2.285352983244378, 48.74279255235421], [2.285631173639288, 48.74100476506209], [2.282924950839611, 48.74081668631673]]], ""type"": ""Polygon""}";CRS3035RES200mN2877200E3754400;0;CRS3035RES1000mN2877000E3754000;0;CRS3035RES1000mN2877000E3754000;848741;857.0;122.0;28.0;7.0;28.0;17285317.0;18002.0;355.0;6.0;0.0;81.0;361.0;92002;92002;92002
48.73700514440545, 2.2930915776590624;"{""coordinates"": [[[2.291877520264501, 48.73601730316281], [2.291599597123245, 48.73780511287498], [2.294305684283138, 48.73799297895482], [2.294583511685109, 48.73620516146768], [2.291877520264501, 48.73601730316281]]], ""type"": ""Polygon""}";CRS3035RES200mN2876600E3755000;0;CRS3035RES1000mN2876000E3755000;0;CRS3035RES1000mN2876000E3755000;848780;465.0;38.0;30.0;50.0;24.0;10074495.9;12486.0;105.0;52.0;104.0;24.0;157.0;9200291377;92002;92002
48.7441563805204, 2.291979874657717;"{""coordinates"": [[[2.290765676242224, 48.743168528295314], [2.290487652118594, 48.74495632886438], [2.293194122320502, 48.74514422605145], [2.2934720506709, 48.74335641770448], [2.290765676242224, 48.743168528295314]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3755000;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877400E3755000;848756;276.0;30.0;5.0;82.0;8.0;9508191.2;10233.0;30.0;79.0;7.0;6.0;109.0;92002;92002;92002
48.74584475888046, 2.316338428679154;"{""coordinates"": [[[2.315123715590618, 48.744857167409], [2.314846553518715, 48.74664503788382], [2.317553191022733, 48.74683234364392], [2.317830257298263, 48.74504446541504], [2.315123715590618, 48.744857167409]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3756800;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877400E3756800;848872;299.0;31.0;11.0;1.0;27.0;5631355.9;7872.0;115.0;1.0;115.0;17.0;116.0;92002;92002;92002
48.7577974592057, 2.3062763150368366;"{""coordinates"": [[[2.305061526369823, 48.75680976160229], [2.304783900436111, 48.75859759284112], [2.307491152987463, 48.75878515010445], [2.30776868307304, 48.75699731109853], [2.305061526369823, 48.75680976160229]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3756200;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878800E3756200;850931;601.5;91.0;8.0;146.0;24.0;19571623.0;19071.0;254.0;14.0;16.0;23.0;268.0;92002;92002;92002
48.769086933060116, 2.3127338162359004;"{""coordinates"": [[[2.311518643892876, 48.768099305950884], [2.311241154261653, 48.76988714683008], [2.31394903789185, 48.7700745534589], [2.314226431616197, 48.76828670481622], [2.311518643892876, 48.768099305950884]]], ""type"": ""Polygon""}";CRS3035RES200mN2880000E3756800;1;CRS3035RES1000mN2880000E3756000;0;CRS3035RES1000mN2880000E3756000;853347;5.0;0.1;0.3;1.3;0.1;271636.8;329.4;0.3;1.2;0.0;0.0;1.5;92002;92002;92002
48.75440928938687, 2.3095384428640515;"{""coordinates"": [[[2.308323667605851, 48.75342162625226], [2.308046187944747, 48.75520946981456], [2.31075326739782, 48.75539694581565], [2.31103065122521, 48.75360909449034], [2.308323667605851, 48.75342162625226]]], ""type"": ""Polygon""}";CRS3035RES200mN2878400E3756400;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878400E3756400;850924;320.0;28.0;14.0;101.0;12.0;11434359.7;10467.0;43.0;78.0;0.0;9.0;121.0;9200294034;92002;92002
48.745756249903984, 2.2889953770136744;"{""coordinates"": [[[2.287781200537014, 48.74476836596684], [2.287503055380479, 48.746556156469644], [2.290209602741209, 48.74674412714848], [2.290487652118594, 48.74495632886438], [2.287781200537014, 48.74476836596684]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3754800;0;CRS3035RES1000mN2877000E3754000;0;CRS3035RES1000mN2877000E3754000;848729;76.5;21.0;1.0;27.0;3.0;2748472.3;2519.0;36.0;7.0;0.0;2.0;43.0;92002;92002;92002
48.758082700550894, 2.2843409162842474;"{""coordinates"": [[[2.283126550181997, 48.757094768393905], [2.2828481322623, 48.75888253511645], [2.285555331667657, 48.759070626015465], [2.285833653751334, 48.75728285150391], [2.283126550181997, 48.757094768393905]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3754600;0;CRS3035RES1000mN2879000E3754000;0;CRS3035RES1000mN2879000E3754000;850827;163.0;9.0;2.0;54.0;3.0;6960402.7;5930.0;0.0;58.0;0.0;1.0;58.0;92002;92002;92002
48.74010643690675, 2.311757090547704;"{""coordinates"": [[[2.310542597703856, 48.73911879569567], [2.310265319610314, 48.74090665749603], [2.312971632631538, 48.74109407141354], [2.313248814959307, 48.73930620185599], [2.310542597703856, 48.73911879569567]]], ""type"": ""Polygon""}";CRS3035RES200mN2876800E3756400;0;CRS3035RES1000mN2876000E3756000;0;CRS3035RES1000mN2876000E3756000;848820;163.0;9.0;3.0;26.0;13.0;4398353.8;5192.0;30.0;30.0;0.0;7.0;60.0;92002;92002;92002
