Point géographique;Forme géographique;Idcar_200m;I_est_200;Idcar_1km;i_est_1km;Idcar_nat;Numéro de groupe;Population du carreau;Nombre de ménages d’un seul individu;Nombre de ménages de 5 individus ou plus;Nombre de ménages propriétaires;Nombre de ménages monoparentaux;Somme des niveaux de vie winsorisés des individus;Somme de la surface des logements du carreau;Nombre de ménages en logements collectifs;Nombre de ménages en maison;Nombre de logements sociaux;Nombre de ménages pauvres;Nombre de ménages;lcog_geo;com_arm_code;Code Officiel Commune
48.75902231394293, 2.2978769067021565;"{""coordinates"": [[[2.296662254412364, 48.75803452665379], [2.296384315698565, 48.75982233229484], [2.299091608277426, 48.76001009453189], [2.299369451142313, 48.75822228111506], [2.296662254412364, 48.75803452665379]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3755600;0;CRS3035RES1000mN2879000E3755000;0;CRS3035RES1000mN2879000E3755000;850799;203.5;63.0;3.0;49.0;10.0;8037538.8;6093.0;99.0;13.0;0.0;4.0;112.0;92002;92002;92002
48.74744528959673, 2.3133546257948447;"{""coordinates"": [[[2.312139934578853, 48.746457666406684], [2.311862651527317, 48.748245526845615], [2.31456936626948, 48.74843290608015], [2.314846553518715, 48.74664503788382], [2.312139934578853, 48.746457666406684]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3756600;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877600E3756600;848878;681.0;101.0;31.0;3.0;63.0;12923092.4;19849.0;286.0;3.0;285.0;42.0;289.0;92002;92002;92002
48.76118552311079, 2.303013721534564;"{""coordinates"": [[[2.301798919472243, 48.76019779103433], [2.301521147221458, 48.76198560994541], [2.304228572888551, 48.76217324848376], [2.304506249276775, 48.76038542180152], [2.301798919472243, 48.76019779103433]]], ""type"": ""Polygon""}";CRS3035RES200mN2879200E3756000;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850871;121.0;10.0;3.0;35.0;4.0;5235476.1;4609.0;11.0;33.0;0.0;2.0;44.0;92002;92002;92002
48.746507591357734, 2.2998215238283874;"{""coordinates"": [[[2.298607118560342, 48.7455198232913], [2.298329356535859, 48.7473076449033], [2.301035978350759, 48.74749535272529], [2.301313644585798, 48.7457075233426], [2.298607118560342, 48.7455198232913]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3755600;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877600E3755600;848751;213.0;22.0;9.0;68.0;8.0;7850860.3;7001.0;16.0;64.0;6.0;1.0;80.0;92002;92002;92002
48.7484830945634, 2.302250476098566;"{""coordinates"": [[[2.301035978350759, 48.74749535272529], [2.300758286892669, 48.7492831798262], [2.303465023106018, 48.74947082970089], [2.303742618763595, 48.74768299483124], [2.301035978350759, 48.74749535272529]]], ""type"": ""Polygon""}";CRS3035RES200mN2877800E3755800;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877800E3755800;848764;462.5;81.0;7.0;151.0;13.0;17548618.0;17346.0;155.0;66.0;0.0;11.0;221.0;92002;92002;92002
48.75883452272739, 2.2951696713579937;"{""coordinates"": [[[2.293955076302046, 48.757846706461294], [2.293677041741911, 48.759634504323955], [2.296384315698565, 48.75982233229484], [2.296662254412364, 48.75803452665379], [2.293955076302046, 48.757846706461294]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3755400;0;CRS3035RES1000mN2879000E3755000;0;CRS3035RES1000mN2879000E3755000;850796;193.0;15.0;5.0;57.0;9.0;7289094.3;6455.0;8.0;63.0;0.0;3.0;71.0;92002;92002;92002
48.7362531700522, 2.282267569410809;"{""coordinates"": [[[2.281053740718991, 48.7352652129783], [2.280775434646329, 48.73705299156405], [2.283481447328685, 48.737241120439066], [2.283759657672361, 48.735453334067735], [2.281053740718991, 48.7352652129783]]], ""type"": ""Polygon""}";CRS3035RES200mN2876600E3754200;0;CRS3035RES1000mN2876000E3754000;0;CRS3035RES200mN2876600E3754200;848807;592.0;59.0;23.0;114.0;18.0;17378910.0;15682.7;208.0;22.0;43.0;21.0;230.0;92002;92002;92002
48.74020488013859, 2.287123352299974;"{""coordinates"": [[[2.285909338770002, 48.739216975482925], [2.285631173639288, 48.74100476506209], [2.288337415066619, 48.74119277810373], [2.288615484446224, 48.73940498074282], [2.285909338770002, 48.739216975482925]]], ""type"": ""Polygon""}";CRS3035RES200mN2877000E3754600;0;CRS3035RES1000mN2877000E3754000;0;CRS3035RES1000mN2877000E3754000;848737;339.5;57.0;13.0;27.0;28.0;7615678.9;9971.0;126.0;26.0;119.0;23.0;152.0;92002;92002;92002
48.75525891466098, 2.2957255941230277;"{""coordinates"": [[[2.294511069646727, 48.75427110389161], [2.294233085602562, 48.756058906317286], [2.296940167875042, 48.75624671873209], [2.297218056089864, 48.75445890852945], [2.294511069646727, 48.75427110389161]]], ""type"": ""Polygon""}";CRS3035RES200mN2878600E3755400;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878600E3755400;850862;329.0;88.0;4.0;97.0;18.0;11774375.1;11802.0;177.0;3.0;6.0;12.0;180.0;92002;92002;92002
48.75958529318931, 2.305998724416402;"{""coordinates"": [[[2.304783900436111, 48.75859759284112], [2.304506249276775, 48.76038542180152], [2.307213597684764, 48.760572986832656], [2.307491152987463, 48.75878515010445], [2.304783900436111, 48.75859759284112]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3756200;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850885;437.0;112.0;5.0;120.0;19.0;14085191.7;13017.0;203.0;25.0;3.0;19.0;228.0;92002;92002;92002
48.74189430144575, 2.311479847746796;"{""coordinates"": [[[2.310265319610314, 48.74090665749603], [2.309988016332229, 48.74269451701554], [2.312694425127707, 48.74288193869096], [2.312971632631538, 48.74109407141354], [2.310265319610314, 48.74090665749603]]], ""type"": ""Polygon""}";CRS3035RES200mN2877000E3756400;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877000E3756400;848871;305.5;20.0;12.0;74.0;11.0;10051899.9;10995.3;8.0;104.0;0.0;5.0;112.0;92002;92002;92002
48.75648297514415, 2.2873263386188083;"{""coordinates"": [[[2.286111950549901, 48.755495074708875], [2.285833653751334, 48.75728285150391], [2.288540775965285, 48.75747086888564], [2.288818976933746, 48.75568308430495], [2.286111950549901, 48.755495074708875]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3754800;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850816;261.0;24.0;8.0;84.0;7.0;9715924.9;8695.0;6.0;91.0;2.0;3.0;97.0;92002;92002;92002
48.75760987295978, 2.303569119709135;"{""coordinates"": [[[2.302354388264918, 48.75662214637532], [2.302076666485644, 48.758409969844436], [2.304783900436111, 48.75859759284112], [2.305061526369823, 48.75680976160229], [2.302354388264918, 48.75662214637532]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3756000;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878800E3756000;850935;729.0;148.0;16.0;195.0;33.0;24793690.0;22833.0;333.0;17.0;0.0;19.0;350.0;92002;92002;92002
48.748858255107734, 2.30766388990802;"{""coordinates"": [[[2.30644927776813, 48.74787057122042], [2.306171777913635, 48.749658413856196], [2.308878551309278, 48.74984593229134], [2.309155955358117, 48.748058081892125], [2.30644927776813, 48.74787057122042]]], ""type"": ""Polygon""}";CRS3035RES200mN2877800E3756200;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877800E3756200;848865;243.5;19.0;11.0;71.0;4.0;9014190.7;8440.0;22.0;65.0;0.0;2.0;87.0;92002;92002;92002
48.7341803736517, 2.3044708177884026;"{""coordinates"": [[[2.303256602259411, 48.733192653747736], [2.30297911249448, 48.73498049911161], [2.305685082541462, 48.73516808685657], [2.30596247657379, 48.73338023372974], [2.303256602259411, 48.733192653747736]]], ""type"": ""Polygon""}";CRS3035RES200mN2876200E3755800;0;CRS3035RES1000mN2876000E3755000;0;CRS3035RES1000mN2876000E3755000;848771;209.0;19.0;7.0;71.0;1.0;7245279.5;6997.0;0.0;75.0;0.0;0.0;75.0;92002;92002;92002
48.73879295686247, 2.2928136897691203;"{""coordinates"": [[[2.291599597123245, 48.73780511287498], [2.291321648741286, 48.739592920300936], [2.294027831648956, 48.73978079415649], [2.294305684283138, 48.73799297895482], [2.291599597123245, 48.73780511287498]]], ""type"": ""Polygon""}";CRS3035RES200mN2876800E3755000;0;CRS3035RES1000mN2876000E3755000;0;CRS3035RES1000mN2876000E3755000;848778;337.0;42.0;12.0;93.0;13.0;9690993.3;10861.0;91.0;47.0;29.0;10.0;138.0;92002;92002;92002
48.76513633305617, 2.3078733985938986;"{""coordinates"": [[[2.306658411414947, 48.76414865345711], [2.306380780441303, 48.765936483354025], [2.309088435075148, 48.76612400594822], [2.309365970164074, 48.764336168284], [2.306658411414947, 48.76414865345711]]], ""type"": ""Polygon""}";CRS3035RES200mN2879600E3756400;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850877;258.0;23.0;13.0;85.0;9.0;10887676.6;9992.0;38.0;60.0;0.0;0.0;98.0;92002;92002;92002
48.7478199088716, 2.318767996605059;"{""coordinates"": [[[2.317553191022733, 48.74683234364392], [2.317276099578368, 48.748620219595054], [2.319982851447734, 48.748807467389554], [2.320259847084662, 48.747019583686274], [2.317553191022733, 48.74683234364392]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3757000;0;CRS3035RES1000mN2877000E3757000;0;CRS3035RES1000mN2877000E3757000;848830;280.5;14.0;6.0;42.0;15.0;8224600.8;6963.0;99.0;6.0;0.0;4.0;105.0;9200291689;92002;92002
48.751871057581766, 2.298988267907809;"{""coordinates"": [[[2.297773756788995, 48.750883281280146], [2.297495919060095, 48.75267109604557], [2.300202828294289, 48.752858827183964], [2.300480570208268, 48.75107100464565], [2.297773756788995, 48.750883281280146]]], ""type"": ""Polygon""}";CRS3035RES200mN2878200E3755600;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878200E3755600;850852;255.0;29.0;11.0;67.0;9.0;10235843.7;9746.0;49.0;51.0;0.0;1.0;100.0;92002;92002;92002
48.7368172493637, 2.290385547672971;"{""coordinates"": [[[2.28917154745135, 48.73582937916072], [2.288893528573379, 48.73761718109526], [2.291599597123245, 48.73780511287498], [2.291877520264501, 48.73601730316281], [2.28917154745135, 48.73582937916072]]], ""type"": ""Polygon""}";CRS3035RES200mN2876600E3754800;0;CRS3035RES1000mN2876000E3754000;0;CRS3035RES200mN2876600E3754800;848801;477.5;38.0;28.0;29.0;47.0;9094875.6;11730.0;142.0;26.0;128.0;35.0;168.0;9200291377;92002;92002
48.74076861192536, 2.295242016730923;"{""coordinates"": [[[2.294027831648956, 48.73978079415649], [2.293749953779294, 48.74156860707295], [2.296456251052163, 48.74175642299903], [2.29673403316299, 48.7399686023088], [2.294027831648956, 48.73978079415649]]], ""type"": ""Polygon""}";CRS3035RES200mN2877000E3755200;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877000E3755200;848757;322.0;33.0;14.0;64.0;6.0;9812538.1;10094.0;58.0;65.0;0.0;12.0;123.0;92002;92002;92002
48.746319854563986, 2.297114959209441;"{""coordinates"": [[[2.295900611136499, 48.74533205752735], [2.295622753325139, 48.747119871366046], [2.298329356535859, 48.7473076449033], [2.298607118560342, 48.7455198232913], [2.295900611136499, 48.74533205752735]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3755400;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877600E3755400;848766;623.5;94.0;18.0;173.0;32.0;17068846.4;16974.0;266.0;0.0;0.0;20.0;266.0;92002;92002;92002
48.75093159980836, 2.285454193999428;"{""coordinates"": [[[2.284239968957435, 48.74994367865813], [2.28396165219254, 48.75173145451957], [2.286668468304782, 48.7519195142669], [2.286946689267629, 48.75013173061935], [2.284239968957435, 48.74994367865813]]], ""type"": ""Polygon""}";CRS3035RES200mN2878200E3754600;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850820;735.5;134.0;21.0;247.0;28.0;23263238.0;21002.0;258.0;74.0;0.0;19.0;332.0;92002;92002;92002
48.749895485449656, 2.296559288900187;"{""coordinates"": [[[2.295344870273744, 48.74890768292149], [2.295066961979054, 48.75069549219404], [2.297773756788995, 48.750883281280146], [2.298051569279829, 48.749095464232816], [2.295344870273744, 48.74890768292149]]], ""type"": ""Polygon""}";CRS3035RES200mN2878000E3755400;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878000E3755400;850865;450.0;77.0;6.0;93.0;35.0;13210660.9;14176.0;186.0;15.0;0.0;8.0;201.0;92002;92002;92002
48.76174813124948, 2.3111359384483783;"{""coordinates"": [[[2.309920964689965, 48.76076048612702], [2.309643480034592, 48.76254832834372], [2.312350961501044, 48.76273576966379], [2.312628350286136, 48.7609479196839], [2.309920964689965, 48.76076048612702]]], ""type"": ""Polygon""}";CRS3035RES200mN2879200E3756600;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850879;313.5;30.0;16.0;78.0;13.0;11322380.9;10497.7;32.0;80.0;29.0;6.0;112.0;92002;92002;92002
48.76532381889475, 2.3105810145842995;"{""coordinates"": [[[2.309365970164074, 48.764336168284], [2.309088435075148, 48.76612400594822], [2.311796108307674, 48.76631146279698], [2.312073547509309, 48.764523617368056], [2.309365970164074, 48.764336168284]]], ""type"": ""Polygon""}";CRS3035RES200mN2879600E3756600;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850882;394.5;52.0;10.0;50.0;22.0;12098487.7;10859.0;168.0;3.0;65.0;7.0;171.0;92002;92002;92002
48.74594418383639, 2.2917018857958484;"{""coordinates"": [[[2.290487652118594, 48.74495632886438], [2.290209602741209, 48.74674412714848], [2.292916168724844, 48.74693203211419], [2.293194122320502, 48.74514422605145], [2.290487652118594, 48.74495632886438]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3755000;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877600E3755000;848761;296.0;74.0;5.0;15.0;36.0;6131497.4;8486.0;140.0;15.0;139.0;33.0;155.0;92002;92002;92002
48.75573039537753, 2.2764981906126716;"{""coordinates"": [[[2.275284031497318, 48.75474237907545], [2.275005351404131, 48.75653012470154], [2.277712399002153, 48.75671840499199], [2.277990983275557, 48.75493065156974], [2.275284031497318, 48.75474237907545]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3754000;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850803;60.0;3.0;1.0;18.0;2.0;2609767.3;3077.0;0.0;20.0;0.0;0.0;20.0;9200291645;92002;92002
48.74509502562726, 2.305512218801643;"{""coordinates"": [[[2.304297734438336, 48.744107318248425], [2.304020189206617, 48.74589515768052], [2.306726752416559, 48.7460827263043], [2.307004201862182, 48.74429487910757], [2.304297734438336, 48.744107318248425]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3756000;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877400E3756000;848860;195.5;16.0;8.0;68.0;6.0;6591855.2;7565.0;6.0;71.0;0.0;2.0;77.0;92002;92002;92002
48.7477319848679, 2.291423871682837;"{""coordinates"": [[[2.290209602741209, 48.74674412714848], [2.289931528106808, 48.74853192314788], [2.292638189880655, 48.748719835892935], [2.292916168724844, 48.74693203211419], [2.290209602741209, 48.74674412714848]]], ""type"": ""Polygon""}";CRS3035RES200mN2877800E3755000;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877800E3755000;848744;56.5;8.0;2.0;16.0;1.0;2823309.1;4262.0;5.0;19.0;0.0;0.0;24.0;92002;92002;92002
48.73436792466684, 2.3071767492555098;"{""coordinates"": [[[2.30596247657379, 48.73338023372974], [2.305685082541462, 48.73516808685657], [2.308391071162149, 48.73535560890333], [2.308668369459304, 48.73356774801616], [2.30596247657379, 48.73338023372974]]], ""type"": ""Polygon""}";CRS3035RES200mN2876200E3756000;0;CRS3035RES1000mN2876000E3756000;0;CRS3035RES1000mN2876000E3756000;848819;68.0;14.0;0.0;27.0;4.0;1789538.6;1938.0;29.0;5.0;0.0;1.0;34.0;92002;92002;92002
48.7579849797192, 2.308983528961006;"{""coordinates"": [[[2.30776868307304, 48.75699731109853], [2.307491152987463, 48.75878515010445], [2.310198424133457, 48.75897264163365], [2.310475858368318, 48.75718479486331], [2.30776868307304, 48.75699731109853]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3756400;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878800E3756400;850923;319.0;26.0;14.0;93.0;12.0;11949900.9;11629.0;26.0;93.0;0.0;8.0;119.0;92002;92002;92002
48.73991899401459, 2.3090508346929774;"{""coordinates"": [[[2.307836399014764, 48.73893132383038], [2.307559025158024, 48.740719177870915], [2.310265319610314, 48.74090665749603], [2.310542597703856, 48.73911879569567], [2.307836399014764, 48.73893132383038]]], ""type"": ""Polygon""}";CRS3035RES200mN2876800E3756200;0;CRS3035RES1000mN2876000E3756000;0;CRS3035RES1000mN2876000E3756000;848823;529.0;75.0;27.0;9.0;41.0;10946148.9;15475.0;152.0;61.0;0.0;24.0;213.0;92002;92002;92002
48.75996028401276, 2.311413362564896;"{""coordinates"": [[[2.310198424133457, 48.75897264163365], [2.309920964689965, 48.76076048612702], [2.312628350286136, 48.7609479196839], [2.312905713867839, 48.75916006742805], [2.310198424133457, 48.75897264163365]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3756600;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850876;268.0;12.0;13.0;77.0;9.0;11306822.1;9403.0;6.0;83.0;0.0;1.0;89.0;9200294034;92002;92002
